colored,blocksworld_01,23,0.034595,2875,6183,9989
gnadGjoel,blocksworld_01,23,0.001092,50,84,140
colored,blocksworld_01,24,0.034698,2875,6183,9989
gnadGjoel,blocksworld_01,24,0.001762,50,84,140
colored,blocksworld_01,25,0.037927,2875,6183,9989
gnadGjoel,blocksworld_01,25,0.002371,50,84,140
colored,blocksworld_01,26,0.045458,3554,7452,12106
gnadGjoel,blocksworld_01,26,0.003243,233,360,664
colored,blocksworld_01,27,0.053883,3554,7452,12106
gnadGjoel,blocksworld_01,27,0.002764,233,360,664
colored,blocksworld_01,28,0.036888,2226,5141,7963
gnadGjoel,blocksworld_01,28,0.001727,100,145,258
colored,blocksworld_01,29,0.036595,2226,5141,7963
gnadGjoel,blocksworld_01,29,0.00179,100,145,258
colored,blocksworld_01,30,0.042917,3081,6528,10817
gnadGjoel,blocksworld_01,30,0.003244,93,157,263
colored,blocksworld_01,31,0.037618,3081,6528,10817
gnadGjoel,blocksworld_01,31,0.001846,93,157,263
colored,blocksworld_01,32,0.051507,3081,6528,10817
gnadGjoel,blocksworld_01,32,0.001931,93,157,263
colored,blocksworld_01,33,0.040162,2604,6125,9347
gnadGjoel,blocksworld_01,33,0.003194,247,360,661
colored,blocksworld_01,34,0.042172,2604,6125,9347
gnadGjoel,blocksworld_01,34,0.002985,247,360,661
colored,blocksworld_01,35,0.01856,1371,3333,5054
gnadGjoel,blocksworld_01,35,0.001361,30,55,88
colored,blocksworld_01,36,0.018115,1371,3333,5054
gnadGjoel,blocksworld_01,36,0.00183,30,55,88
colored,blocksworld_01,37,0.037242,1371,3333,5054
gnadGjoel,blocksworld_01,37,0.001801,99,165,278
colored,blocksworld_01,38,0.038695,2840,6407,10061
gnadGjoel,blocksworld_01,38,0.001721,99,165,278
colored,blocksworld_01,39,0.044941,2840,6407,10061
gnadGjoel,blocksworld_01,39,0.002506,99,165,278
colored,blocksworld_01,40,0.040068,1512,3648,5573
gnadGjoel,blocksworld_01,40,0.001794,169,271,480
colored,blocksworld_01,41,0.033461,1512,3648,5573
gnadGjoel,blocksworld_01,41,0.002904,169,271,480
colored,blocksworld_01,42,0.049306,2417,5173,8423
gnadGjoel,blocksworld_01,42,0.003366,132,220,386
colored,blocksworld_01,43,0.030861,2417,5173,8423
gnadGjoel,blocksworld_01,43,0.001946,132,220,386
colored,blocksworld_01,44,0.027477,2417,5173,8423
gnadGjoel,blocksworld_01,44,0.00173,132,220,386
colored,blocksworld_01,45,0.02947,1992,4491,7092
gnadGjoel,blocksworld_01,45,0.002138,112,167,298
colored,blocksworld_01,46,0.029623,1992,4491,7092
gnadGjoel,blocksworld_01,46,0.002305,112,167,298
colored,blocksworld_01,47,0.023624,1992,4491,7092
gnadGjoel,blocksworld_01,47,0.001857,127,210,370
colored,blocksworld_01,48,0.028758,1692,4360,6504
gnadGjoel,blocksworld_01,48,0.001654,127,210,370
colored,blocksworld_01,49,0.022246,1692,4360,6504
gnadGjoel,blocksworld_01,49,0.001668,127,210,370
colored,blocksworld_02,1,0.025626,1103,3764,5096
gnadGjoel,blocksworld_02,1,0.002397,114,185,318
